BIT	FILTER	WEIGHT	NEURON
        31	        27	       656	       146
        13	        48	       504	        30
        12	        38	       374	       109
        29	        17	       332	       151
         9	        32	       164	         8
        22	        19	       633	       117
        28	        38	       508	        64
        12	        42	       466	        28
         5	         2	       546	        38
        18	        26	       537	        22
         0	        47	       244	       161
         0	         0	       336	       106
         0	        53	       110	       110
         8	        39	       431	        72
        13	        12	       516	       138
        22	        54	       454	        44
        24	        40	       110	       154
         2	        39	         8	       103
        22	        28	       672	       191
        28	        17	       737	       185
         6	        47	       755	       182
        22	         3	       786	        28
        15	        54	       126	        81
        12	         4	       737	        28
        12	        16	       558	        26
        23	        54	       529	       134
        19	        50	       421	       111
         3	         6	       332	       109
        21	        32	       663	       163
         3	         9	       207	        30
        31	        45	        23	        63
        17	        57	        47	       181
         9	        29	       332	        60
        19	        61	       174	        74
        15	        51	       598	        42
        25	         2	       507	        14
         2	        18	       314	       117
        27	        41	       663	        46
        23	        47	       325	        40
         8	        20	       518	        45
        17	        50	       433	       165
        15	         0	       203	        35
        19	         1	       561	       149
         4	        13	       475	       150
        31	        21	       108	        67
        31	        35	       341	        18
        18	        27	       542	       122
        15	         4	       587	        45
        22	        29	       486	       166
        29	        17	       613	        16
        19	        22	       349	       191
         3	        25	       285	       175
        14	        41	       254	       113
        13	        19	       451	       151
        14	        34	       250	       150
         6	         5	       191	       109
         2	        37	         3	       195
        22	         8	        80	         5
        30	        13	        96	       170
         6	        30	       133	       153
         7	         3	       706	       188
        22	         6	       180	       189
         8	        14	        67	       118
        19	        34	       587	       134
         7	        46	       629	       177
        22	         5	       423	        53
        19	        39	       247	        53
         5	        28	       430	        37
        31	        17	       481	       133
        23	        21	        58	        19
         3	        29	       621	        11
        31	        57	       109	       126
         7	        34	       132	       166
         8	        11	       371	        59
        18	        10	       500	       104
         6	         3	        69	        93
        20	        38	        26	        27
        28	        53	       426	        39
        18	        55	       438	       138
        16	         3	        24	        40
         6	        28	       182	         6
         7	        41	       489	        90
        19	        61	       530	        45
         0	        23	       350	        44
        29	        24	        63	       105
        13	        41	        89	       140
         1	        47	       530	       125
        19	        10	       169	        77
         7	        31	         7	        74
         8	        48	       424	        71
        13	        58	       564	       122
        17	        50	       354	        63
        11	         2	       584	       136
        11	        33	       792	       128
        17	        42	       606	        68
        21	         7	       349	         8
         7	         4	       170	       191
        20	        19	       779	       153
        13	        63	       399	        55
        18	        18	       526	       161
        20	        54	       373	         7
        24	        14	       140	       125
        24	        42	       525	       177
        17	        10	       361	       116
        14	        52	       104	         2
         7	        51	       675	       180
        18	        51	       147	        12
         5	        33	       257	       177
        24	        55	       696	       104
         5	        36	       217	        37
        14	         6	       363	       144
        16	        52	        24	        38
         8	        32	       288	        67
        19	         3	       228	        82
        22	        55	        42	       123
        25	        12	        84	       101
         3	        45	        65	       104
        17	        58	       677	        96
         0	        48	       224	       132
         5	        56	       654	        69
        25	        14	       125	        92
        17	         1	       242	         4
        24	        29	       675	       133
         9	        24	       226	        96
         5	        35	       404	       190
        29	        57	       726	         5
        10	        22	       557	       187
        15	        27	       476	       176
         9	        25	       628	       135
        26	         7	       515	       163
         4	         6	       132	        25
        30	        39	       665	       123
        10	        45	       570	       164
         6	        48	       389	        72
         7	        51	       223	       190
        14	        60	       382	       192
        21	        18	       435	        52
        25	        54	       163	        21
        28	        39	       138	        95
        14	         3	       702	        29
        16	        56	        97	       147
         9	         6	         7	       100
        25	         7	       518	        40
         3	         4	       672	       116
        22	        51	       712	       144
         9	        11	       589	       185
        19	        56	         0	       105
        27	        63	       250	       168
        23	        27	       739	         4
         2	        42	        16	        27
        17	        22	       227	        68
        26	        35	       461	         9
        22	        21	       449	       115
